ds,y
2010-01-01,7.840000000000001
2010-01-02,9.24
2010-01-03,25.480000000000004
2010-01-04,23.240000000000002
2010-01-05,11.200000000000001
2010-01-06,9.24
2010-01-07,8.4
2010-01-08,10.64
2010-01-09,18.76
2010-01-10,28.000000000000004
2010-01-11,15.400000000000002
2010-01-12,8.120000000000001
2010-01-13,7.000000000000001
2010-01-14,7.000000000000001
2010-01-15,8.680000000000001
2010-01-16,20.44
2010-01-17,27.160000000000004
2010-01-18,12.600000000000001
2010-01-19,6.720000000000001
2010-01-20,6.44
2010-01-21,6.44
2010-01-22,7.280000000000001
2010-01-23,11.760000000000002
2010-01-24,25.200000000000003
2010-01-25,15.96
2010-01-26,5.880000000000001
2010-01-27,5.040000000000001
2010-01-28,4.760000000000001
2010-01-29,5.040000000000001
2010-01-30,5.32
2010-01-31,7.280000000000001
2010-02-01,5.28
2010-02-02,3.52
2010-02-03,3.41
2010-02-04,3.52
2010-02-05,4.07
2010-02-06,4.18
2010-02-07,9.24
2010-02-08,11.0
2010-02-09,4.07
2010-02-10,3.52
2010-02-11,3.08
2010-02-12,2.75
2010-02-13,2.64
2010-02-14,2.64
2010-02-15,2.31
2010-02-16,2.31
2010-02-17,2.31
2010-02-18,2.2
2010-02-19,2.2
2010-02-20,2.09
2010-02-21,2.2
2010-02-22,2.31
2010-02-23,2.86
2010-02-24,2.42
2010-02-25,2.75
2010-02-26,2.86
2010-02-27,2.97
2010-02-28,3.3
2010-03-01,9.0
2010-03-02,7.92
2010-03-03,7.29
2010-03-04,6.39
2010-03-05,8.82
2010-03-06,7.02
2010-03-07,6.39
2010-03-08,6.12
2010-03-09,6.39
2010-03-10,5.76
2010-03-11,6.569999999999999
2010-03-12,5.22
2010-03-13,5.31
2010-03-14,5.49
2010-03-15,5.22
2010-03-16,4.859999999999999
2010-03-17,4.95
2010-03-18,4.95
2010-03-19,4.2299999999999995
2010-03-20,4.59
2010-03-21,4.859999999999999
2010-03-22,4.59
2010-03-23,4.68
2010-03-24,5.13
2010-03-25,5.13
2010-03-26,5.04
2010-03-27,4.68
2010-03-28,4.68
2010-03-29,4.68
2010-03-30,5.13
2010-03-31,4.859999999999999
2010-04-01,1.53
2010-04-02,1.87
2010-04-03,1.7000000000000002
2010-04-04,1.53
2010-04-05,2.5500000000000003
2010-04-06,1.87
2010-04-07,1.7000000000000002
2010-04-08,1.53
2010-04-09,1.53
2010-04-10,1.7000000000000002
2010-04-11,1.7000000000000002
2010-04-12,2.21
2010-04-13,2.21
2010-04-14,2.21
2010-04-15,2.04
2010-04-16,2.3800000000000003
2010-04-17,2.04
2010-04-18,2.04
2010-04-19,2.3800000000000003
2010-04-20,3.2300000000000004
2010-04-21,4.08
2010-04-22,7.140000000000001
2010-04-23,17.0
2010-04-24,13.260000000000002
2010-04-25,6.460000000000001
2010-04-26,4.08
2010-04-27,2.3800000000000003
2010-04-28,1.87
2010-04-29,1.53
2010-04-30,1.36
2010-05-01,4.9
2010-05-02,4.65
2010-05-03,5.0
2010-05-04,4.5
2010-05-05,4.55
2010-05-06,4.65
2010-05-07,4.6000000000000005
2010-05-08,4.45
2010-05-09,4.2
2010-05-10,4.3
2010-05-11,4.4
2010-05-12,4.25
2010-05-13,4.3
2010-05-14,4.3500000000000005
2010-05-15,3.85
2010-05-16,3.6500000000000004
2010-05-17,4.05
2010-05-18,3.85
2010-05-19,3.7
2010-05-20,3.6500000000000004
2010-05-21,3.75
2010-05-22,3.6
2010-05-23,3.7
2010-05-24,4.05
2010-05-25,3.85
2010-05-26,3.6
2010-05-27,3.5
2010-05-28,3.45
2010-05-29,3.2
2010-05-30,3.0500000000000003
2010-05-31,2.8000000000000003
2010-06-01,3.64
2010-06-02,3.7600000000000002
2010-06-03,3.88
2010-06-04,4.0
2010-06-05,3.72
2010-06-06,3.88
2010-06-07,3.6
2010-06-08,3.68
2010-06-09,3.56
2010-06-10,3.84
2010-06-11,3.48
2010-06-12,3.68
2010-06-13,3.6
2010-06-14,3.52
